country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","19-03-2026 16:00:00",28.1485564,77.3320667,PM2.5,NA,NA,NA
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","19-03-2026 16:00:00",28.1485564,77.3320667,NH3,NA,NA,NA
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","19-03-2026 16:00:00",28.3153,76.9143,NO2,15,31,20
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","19-03-2026 16:00:00",28.3153,76.9143,NH3,1,4,1
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","19-03-2026 16:00:00",28.621810,77.1944633,NO2,5,41,21
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","19-03-2026 16:00:00",28.621810,77.1944633,CO,103,110,106
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","19-03-2026 16:00:00",28.621810,77.1944633,OZONE,1,20,9
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","19-03-2026 16:00:00",28.672342,77.315260,SO2,8,37,13
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","19-03-2026 16:00:00",28.672342,77.315260,OZONE,6,152,32
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","19-03-2026 16:00:00",28.699793,77.165453,PM10,67,484,162
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","19-03-2026 16:00:00",28.699793,77.165453,SO2,13,44,23
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","19-03-2026 16:00:00",22.977134,72.553024,PM2.5,44,178,98
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","19-03-2026 16:00:00",23.243639,72.68994,OZONE,1,34,19
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","19-03-2026 16:00:00",23.593150,72.372792,NO2,34,61,50
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","19-03-2026 16:00:00",22.410802,73.097923,PM10,94,252,146
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","19-03-2026 16:00:00",22.248853,70.776774,CO,38,41,40
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","19-03-2026 16:00:00","21.217779 ","72.834787 ",PM10,21,165,67
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","19-03-2026 16:00:00",28.3419248,77.319699,CO,28,58,36
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","19-03-2026 16:00:00",28.806223,76.141105,PM2.5,38,148,65
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","19-03-2026 16:00:00",28.806223,76.141105,PM10,32,104,55
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","19-03-2026 16:00:00",28.39072,77.30059,NO2,23,26,25
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","19-03-2026 16:00:00",28.39072,77.30059,NH3,11,12,11
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","19-03-2026 16:00:00",28.39072,77.30059,CO,10,13,11
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","19-03-2026 16:00:00",28.4417,77.3217,SO2,4,5,4
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","19-03-2026 16:00:00",28.4227,77.0667,PM2.5,3,439,193
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","19-03-2026 16:00:00",28.4227,77.0667,SO2,1,12,7
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","19-03-2026 16:00:00",28.4227,77.0667,OZONE,10,45,42
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","19-03-2026 16:00:00",28.4501238,77.0263051,NO2,9,45,27
India,Haryana,Jind,"Police Lines, Jind - HSPCB","19-03-2026 16:00:00",29.307814,76.337619,PM10,43,94,66
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","19-03-2026 16:00:00",29.8006,76.4155,PM10,43,103,77
